sample	bam	group
SRR27130495	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE249105/star/SRR27130495/SRR27130495_Aligned.out.bam	3m
SRR27130496	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE249105/star/SRR27130496/SRR27130496_Aligned.out.bam	3m
SRR27130497	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE249105/star/SRR27130497/SRR27130497_Aligned.out.bam	3m
SRR27130498	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE249105/star/SRR27130498/SRR27130498_Aligned.out.bam	18m
SRR27130499	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE249105/star/SRR27130499/SRR27130499_Aligned.out.bam	18m
